"nom","adresse","code_insee","commune","etat","type","nb_places_dispo","nb_velos_dispo","etat_connexion","x","y","date_modification","geom"
METROPOLE EUROPEENNE DE LILLE,MEL RUE DU BALLON,,LILLE,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.075992,50.641926,2022-11-29T10:47:16.181Z,POINT (3.075992 50.641926)
VERDUN,69 AVENUE DE VERDUN,,MONS EN BAROEUL,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.10231,50.638126,2022-11-29T10:47:16.183Z,POINT (3.10231 50.638126)
CONCORDE,27 BOULEVARD ALPHONSE GAYET,,MONS EN BAROEUL,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.112704,50.638123,2022-11-29T10:47:16.183Z,POINT (3.112704 50.638123)
SQUARE DU PORTUGAL,FACE AU 204 RUE DE LA BASSEE,,LILLE,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.030667,50.623466,2022-11-29T10:47:16.184Z,POINT (3.030667 50.623466)
SQUARE CHARLES DE GAULLE,"4, RUE FERDINAND BUISSON",,HELLEMMES,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.115101,50.626846,2022-11-29T10:47:16.184Z,POINT (3.115101 50.626846)
COLLEGE LAVOISIER,"56, RUE PAUL VAILLANT",,LAMBERSART,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.022364,50.641834,2022-11-29T10:47:16.185Z,POINT (3.022364 50.641834)
LE POLYEDRE,"FACE AU 38, AVENUE RHIN ET DANUBE",,MONS EN BAROEUL,RÉFORMÉ,AVEC TPE,3,0,DÉCONNECTÉ,3.115571,50.64057,2022-11-29T10:47:16.185Z,POINT (3.115571 50.64057)
FLERS MAIRIE,16 RUE DU GÉNÉRAL LECLERC,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.127964,50.63708,2022-11-29T10:47:16.185Z,POINT (3.127964 50.63708)
RUE LOUISE MICHEL,93 RUE LOUISE MICHEL,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.127335,50.633842,2022-11-29T10:47:16.185Z,POINT (3.127335 50.633842)
FLERS CHATEAU,RUE DE LA CHEVALERIE,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.130853,50.63608,2022-11-29T10:47:16.185Z,POINT (3.130853 50.63608)
RUE DES VICTOIRES,"76, BOULEVARD VAN GOGH",,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.131706,50.6221,2022-11-29T10:47:16.186Z,POINT (3.131706 50.6221)
ROND POINT DE TOURNAI,"55, RUE DES FUSILLÉS",,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.146026,50.61776,2022-11-29T10:47:16.187Z,POINT (3.146026 50.61776)
RESIDENCE,PLACE N. DAME DE LA NATIVITÉ,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.14528,50.61992,2022-11-29T10:47:16.187Z,POINT (3.14528 50.61992)
TROIS PONTS,"186, AVENUE JULIEN LAGACHE",,ROUBAIX,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.200799,50.684593,2022-11-29T10:47:16.198Z,POINT (3.200799 50.684593)
PLACE SPRIET,PLACE CHARLES SPRIET,,ROUBAIX,RÉFORMÉ,AVEC TPE,24,0,DÉCONNECTÉ,3.18514,50.67392,2022-11-29T10:47:16.198Z,POINT (3.18514 50.67392)
LES GOBELINS,"32, RUE DE LA COMMUNAUTÉ URBAINE",,ROUBAIX,RÉFORMÉ,AVEC TPE,12,0,DÉCONNECTÉ,3.172165,50.6941,2022-11-29T10:47:16.198Z,POINT (3.172165 50.6941)
PELLART,"15, RUE PELLART",,ROUBAIX,RÉFORMÉ,AVEC TPE,7,0,DÉCONNECTÉ,3.180779,50.69535,2022-11-29T10:47:16.199Z,POINT (3.180779 50.69535)
MOTTE BOSSUT,ROND POINT DE L'EUROPE,,ROUBAIX,RÉFORMÉ,AVEC TPE,10,0,DÉCONNECTÉ,3.177179,50.689762,2022-11-29T10:47:16.199Z,POINT (3.177179 50.689762)
RUE DE TOURCOING,RUE DE TOURCOING (SUR LA PARKING GRDF),,ROUBAIX,RÉFORMÉ,AVEC TPE,16,0,DÉCONNECTÉ,3.172654,50.702026,2022-11-29T10:47:16.199Z,POINT (3.172654 50.702026)
WATTRELOS PLACE,"2-10, D660",,WATTRELOS,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.215011,50.701187,2022-11-29T10:47:16.201Z,POINT (3.215011 50.701187)
STALINGRAD,38-4 RUE DE STALINGRAD,,WATTRELOS,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.209156,50.69626,2022-11-29T10:47:16.201Z,POINT (3.209156 50.69626)
REPUBLIQUE,203 RUE CARNOT,,WATTRELOS,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.206297,50.697895,2022-11-29T10:47:16.201Z,POINT (3.206297 50.697895)
BELFORT,84 RUE DE TREVISE,,LILLE,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.077127,50.622223,2022-11-29T10:47:16.205Z,POINT (3.077127 50.622223)
JULES GUESDE,RUE ST ELOI,,LILLE HELLEMMES,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.110669,50.632393,2022-11-29T10:47:16.207Z,POINT (3.110669 50.632393)
BOULEVARD DE METZ,40 BOULEVARD DE METZ,,LILLE,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.041299,50.619312,2022-11-29T10:47:16.207Z,POINT (3.041299 50.619312)
RUE DE LA GAITE,9 RUE MARCEAU,,LILLE,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.091106,50.63665,2022-11-29T10:47:16.207Z,POINT (3.091106 50.63665)
